name,description,price,stock,category,image_url
"Riz Parfumé Royal (50kg)","Sac de riz parfumé de qualité supérieure, idéal pour les grands événements.",22500,100,"Alimentation","https://images.unsplash.com/photo-1586201375761-83865001e31c?w=500&q=80"
"Huile d'Arachide (5L)","Bidon d'huile d'arachide pure, parfaite pour la cuisson.",6500,50,"Alimentation","https://images.unsplash.com/photo-1474979266404-7cadd259c308?w=500&q=80"
"Sucre En Poudre (1kg)","Sucre blanc raffiné de haute qualité.",800,200,"Alimentation","https://images.unsplash.com/photo-1585651911762-b98a00067b45?w=500&q=80"
"Lait En Poudre (500g)","Lait entier en poudre, riche en calcium et vitamines.",2500,150,"Alimentation","https://images.unsplash.com/photo-1563636619-e9143da7973b?w=500&q=80"
"Café Touba (Sachet 250g)","Authentique café Touba aux épices, saveur intense.",1500,300,"Boissons","https://images.unsplash.com/photo-1559496417-e7f25cb247f3?w=500&q=80"
"Tomates Concentrées (Boîte 1kg)","Double concentré de tomates pour vos sauces.",2200,80,"Alimentation","https://images.unsplash.com/photo-1596568461757-790113c01a93?w=500&q=80"
"Oignons (Sac 5kg)","Oignons frais locaux, indispensables en cuisine.",3000,40,"Légumes","https://images.unsplash.com/photo-1620574387735-3624d75b2dbc?w=500&q=80"
"Pommes de Terre (Sac 5kg)","Pommes de terre à chair ferme, polyvalentes.",3500,40,"Légumes","https://images.unsplash.com/photo-1518977676601-b53f82a6b69d?w=500&q=80"
"Savon de Marseille (Lot de 4)","Savon traditionnel pour le corps et le linge.",1200,100,"Hygiène","https://images.unsplash.com/photo-1600857062241-98e5dba7f214?w=500&q=80"
"Jus de Bouye (1L)","Jus naturel de fruit de baobab, riche en vitamine C.",1000,60,"Boissons","https://images.unsplash.com/photo-1621506289937-a8e4df240d0b?w=500&q=80"
